sentence_id,label,sentence
40,0,"""We aren't suggesting that fatigue is good,"" says Ashish S. Shah, an assistant professor of surgery at the Johns Hopkins University School of Medicine and the study's lead author."
41,0,Those who are covered  recover
42,0,Treatments for recurring TB infection failing the developing world  study finds
43,0,"That is the finding of a study published early online in Cancer, a peer-reviewed journal of the American Cancer Society."
44,0,Invasive heart test being dramatically overused  Stanford study shows
45,0,"The study explored the incidence of UK women having Multiple Repeat Caesarean Sections (MRCS), defined as five or more, and the outcomes for them and their babies compared to women having their second to fourth caesarean section."
46,0,"Researchers studied 2,287 patients who had radical cystectomy surgery, where the bladder is removed, together with nearby tissue and organs as required."
47,0,"""It is my impression that patients often ask themselves a range of questions: 'What are my long-term prospects?"
48,0,"Results from the world's first registry of pregnancy and heart disease have shown that most women with heart disease can go through pregnancy and delivery safely, so long as they are adequately evaluated, counselled and receive high quality care."
49,0,"In a study published today in the open access journal PLoS Medicine, researchers call for improved access to rapid diagnostics for drug resistant TB, second-line TB treatment and antiretroviral HIV therapy."
50,0,Coronary artery stenting viable palliative option for infants and toddlers
51,0,"In Massachusetts, annual opioid-related overdose deaths have exceeded motor vehicle deaths since 2005, so several strategies have been introduced to tackle this growing problem."
52,0,End of life care for cancer patients differs in US and Canada
53,0,Concern about overexposure to radiation due to excessive use of medical imaging has come to the fore in recent years.
54,0,"Furthermore, it also influences the immune system."
55,0,New study alters long held beliefs about shingles
56,0,New evidence shows increase in obesity may be slowing  but not by much
57,0,"The risk of elevated blood pressure among children and adolescents rose 27 percent during a thirteen-year period, according to new research in the American Heart Association journal Hypertension."
58,0,"When a doctor enters medical orders for such patients, the automated checklist recommends evidence-based best treatments for each patient's needs, usually the regular administration of low-dose blood thinners or the use of compression devices to keep blood flowing in the legs."
59,0,"The number of Americans with a history of cancer, currently estimated to be 13.7 million, will grow to almost 18 million by 2022, according to a first-ever report by the American Cancer Society in collaboration with the National Cancer Institute (NCI)."
60,0,Vitamin D is known as a major regulator of calcium levels and bone metabolism.
61,0,"Previous research has shown that observation units in a hospital can be an efficient way to care for certain patients, but only about one-third of hospitals in the United States have such units."
62,0,This release is available in French.
63,0,"As discussed in this study, the United States Department of Veterans Affairs group has developed the Family Assessment of Treatment at the End of life (FATE) survey, which is administered to families of deceased veterans."
64,0,The major source of vitamin D for children and adults is exposure to natural sunlight.
65,0,"The study, Environmental Health Perspectives: A Case Study of High Prenatal Bisphenol A Exposure and Infant Neonatal Neurobehavior, was led by researcher Sheela Sathyanarayana, MD of Seattle Children's Research Institute, and recently published online in Environmental Health Perspectives."
66,0,"The research was published today, 28 September, in the journal PLoS ONE."
67,0,"The study's authors state that testing for some of the most common mutations that cause sensorineural hearing loss in a targeted way, rather than through generalized screening of hearing loss patients, yields the best results."
68,0,Too many admissions at a hospital at one time can put patients at risk.
69,0,"Atrial fibrillation, or AF for short, describes abnormal heart rhythms."
70,0,The findings from the retrospective cohort study were just published in the Journal of Maternal-Fetal and Neonatal Medicine.
71,0,You wouldn't brake your car while stepping on the gas--or wash down a sleeping pill with espresso.
72,0,Clinical diagnosis of acute appendicitis can be difficult and yet it is the most common surgical abdominal emergency.
73,0,"""Given the rising costs of health care, policymakers are increasingly interested in identifying the inefficiencies in our health care system,"" the authors write as background."
74,0,Patients most in need of the vaccine against shingles don't get it&nbsp;
75,0,"Women face greater limits on their lifestyle and have more severe symptoms as a result of peripheral artery disease (PAD), but minimally invasive procedures used to unclog arteries are just as successful  as in men."
76,0,"The number of children admitted to hospital in England for acute throat infections increased by 76 per cent between 1999 and 2010, according to new research published today in Archives of Disease in Childhood."
77,0,"Scientists from the University of Edinburgh, a BHF Centre of Research Excellence, in collaboration with the University of Cambridge are the first to demonstrate the potential of combining PET and CT scanning to image the disease processes directly in the coronary arteries that cause heart attacks (2)."
78,0,"This retrospective study observed the outcomes of the effectiveness of the herpes zoster vaccine in a large, diverse population of men and women ages 60 years and older."
79,0,Findings from a nationwide study led by researchers at Dana-Farber Cancer Institute suggest that patients with advanced lung or colorectal cancer are frequently mistaken in their beliefs that chemotherapy can cure their disease.
80,0,Decline in available liver transplants expected
81,0,"A report on the value of the Internet search tool for emergency departments, studied by a team of researchers at Johns Hopkins Medicine over a 21-month period, is published in the January 9 issue of Clinical Infectious Diseases."
82,0,Lung cancer set to overtake breast cancer as the main cause of cancer deaths among European women
83,0,Johns Hopkins malpractice study  Surgical  never events  occur at least 4 000 times per year
84,0,"In the past, some physicians have criticized shave biopsies for not providing accurate T (tumor) stage information, thereby complicating treatment planning."
85,0,Ischemic stroke hospitalization rates in adolescents and young adults aged 15 to 44 increased up to 37% between 1995 and 2008 according to a study conducted by researchers at the Centers for Disease Control and Prevention (CDC).
86,0,"People with the disorder, called REM sleep behavior disorder, do not have the normal lack of muscle tone that occurs during rapid eye movement (REM) sleep, causing them to act out their dreams."
87,0,"The study is published in the August 2, 2011, print issue of Neurology&reg;, the medical journal of the American Academy of Neurology."
88,0,Surge in parents taking kids with common medical problems to emergency care
89,0,"A small, retrospective study determined that percutaneous coronary intervention (PCI) was safe in patients with significant coronary artery disease (CAD) who were referred for liver transplantation."
90,0,Researchers at the Institute for Regenerative Medicine at Wake Forest University Baptist Medical Center and colleagues reported today on a new advance in tissue engineering.
91,0,Larger studies are needed to determine the effectiveness of angioplasty in patients with end-stage liver disease (ESLD).
92,0,Opioid prescription is on the increase
93,0,"In 2010, almost 2 million American children had at least one parent in active military duty."
94,0,Millions of Americans take aspirin or other drugs every day to reduce their risk of heart attacks or other problems caused by blood clots.
95,0,The findings are from a new study led by researchers at the Johns Hopkins Bloomberg School of Public Health who compared the relationship between primary care physicians' beliefs about the causes of obesity with the frequency of nutritional counseling.
96,0,"This adds up to around 1900 fewer such admissions every year, the authors calculate, and confirms the value of public health interventions, such as smoking bans, they say."
97,1,More time for school lunches equals healthier choices for kids
98,1,Study demonstrates that earlier end of life care discussions are linked to less aggressive care in final days of life
99,1,"A new study has found that women who stay seated for long periods of time every day are more prone to developing type 2 diabetes, but that a similar link wasn't found in men."
100,1,"Biological agents used to treat rheumatoid arthritis seem to be associated with an increased risk of skin cancer, indicates a systematic review of published research in the Annals of the Rheumatic Diseases."
101,1,A study published in this week's PLoS Medicine suggests that there might be an association between maternal immunization with inactivated influenza vaccine during pregnancy and reduced likelihood of prematurity and the baby being small for gestational age.
102,1,Systemic sclerosis complications more severe in African Americans than Caucasians
103,1,"In 459 patients with ocular melanoma at 12 centers in the United States and Canada, the researchers found the test could successfully classify tumors more than 97 percent of the time."
104,1,Study  Physicians less likely to  bond  with overweight patients
105,1,"The Johns Hopkins investigators say the findings suggest that if physicians are on the lookout for these potentially reversible conditions and treat them aggressively at the first sign of trouble, patients are more likely to survive."
106,1,Increased risk of sleep disorder in children who received swine flu vaccine
107,1,"While awareness campaigns may be getting women to go to the hospital more quickly during a heart-attack, a new look at hospital data shows women have longer hospital stays and are more likely than men to die in the hospital after a heart attack."
108,1,Low muscle strength in adolescence linked to increased risk of early death
109,1,Study finds strong link between income inequality and readmission risk  but not mortality
110,1,Highlight 	A simple model using 5 commonly available variables from electronic health records adequately discriminates between socially disadvantaged individuals with chronic kidney disease who will and will not progress to kidney failure.
111,1,"People who suffer from insomnia appear to have an increased risk of developing heart failure, according to the largest study to investigate the link."
112,1,"The advisory, published in the American Heart Association's journal Circulation, is based on a thorough review of recent laboratory, animal, observational and clinical studies that reaffirm the  association's 2011 advisory that limiting sodium (salt) to less than 1,500 mg per day is linked to a decreased risk of high blood pressure and cardiovascular disease, including stroke."
113,1,Women who develop the condition only in the final weeks of pregnancy (known as term pre-eclampsia) are at less risk.
114,1,"According to the study now available in Annals of Neurology, a journal published by Wiley-Blackwell on behalf of the American Neurological Association and Child Neurology Society, infants who experienced early exposure to stress displayed decreased brain size, functional connectivity, and abnormal motor behavior."
115,1,"While overall emergency department use in Massachusetts continues to rise, the number of low-severity visits dropped slightly since the implementation of the state's health care reform law, according to an Annals of Emergency Medicine study published online."
116,1,Heart disease patients with positive attitudes likely to exercise  live longer
117,1,Continuous EEG better at identifying oxygen-deprived newborns most at risk
118,1,"A prospective study by U.K. researchers found that adolescents who are double-jointed--medically termed joint hypermobility--are at greater risk for developing musculoskeletal pain as they get older, particularly in the shoulders, knees, ankles and feet."
119,1,Early age at the onset of seizures and delayed global development were associated with a higher frequency of resistance to antiepileptic drugs (AEDs).
120,1,Heavy moms to be at greater risk of c section
121,1,Unfit  lean people are better protected against heart attacks than fit  obese people
122,1,Patients infected with HIV have higher drop out rate for liver transplantation
123,1,The results are consistent with previous studies from Finland and Sweden and indicate that the association is not confined to Scandinavian populations.
124,1,Infants with severe RSV disease may be immunosuppressed
125,1,Adult survivors of childhood cancers who underwent certain chemotherapy treatments or kidney surgery had worse kidney function that did not recover over time.
126,1,Low testosterone levels may herald rheumatoid arthritis in men
127,1,"Those who quit smoking before their stroke also had less risk of poorer outcomes than current smokers, researchers found."
128,1,"Higher surgical costs for adult congenital heart patients is associated with higher rates of inpatient death compared to surgical admissions that incur lower costs, according to a study in Circulation: Quality and Outcomes, a journal of the American Heart Association."
129,1,Middle-aged athletes at low risk for sudden cardiac arrest while exercising
130,1,Kaiser Permanente study  Change in PSA levels over time can help predict aggressive prostate cancer
131,1,"""We wanted to know if age was a risk factor in this procedure, and if octogenarians fare as well as younger patients,"" said Roger G. Carrillo, M.D., senior study author and chief of surgical electrophysiology at the University of Miami Hospital in Florida."
132,1,"The research, which will be presented today (Tuesday 4 September 2012) at the European Respiratory Society's (ERS) Annual Congress in Vienna, adds to evidence presented earlier this year highlighting a link between severe sleep apnoea and cancer."
133,1,Medically underserved girls receive less frequent evaluation for short stature
134,1,"Drugs that are used for treating Alzheimer's disease in its early stages are linked to a reduced risk of heart attacks and death, according to a large study of over 7,000 people with Alzheimer's disease in Sweden."
135,1,"Children born extremely prematurely have up to a 19 times greater risk of retinal detachment later in life than peers born at term, according to a Swedish study published this month in Ophthalmology, the journal of the American Academy of Ophthalmology."
136,1,A new study suggests more than half of people who develop Alzheimer's disease before the age of 60 are initially misdiagnosed as having other kinds of brain disease when they do not have memory problems.
137,1,"A new risk calculator can predict the risk of postoperative complications occurring for individual bariatric surgery patients, according to a study published in the March issue of the Journal of the American College of Surgeons."
138,1,"Taser shots to the chest are no more dangerous than those delivered to other body locations, according to a new study by one of the country's leading experts on the devices."
139,1,"A large study published in PLOS Medicine on January 29, 2013, shows that the risk of future cardiovascular disease and death increased with severity of erectile dysfunction in men both with and without a history of cardiovascular disease."
140,1,Puzzling over links between monkey research and human health
141,1,Liver stiffness predicts liver failure  cancer and mortality in cirrhotic patients
142,1,"Older people with Alzheimer's disease are less likely to also have cancer, and older people with cancer are less likely to also have Alzheimer's disease, according to the largest study to date on the topic, which appears in the July 10, 2013, online issue of Neurology&reg;, the medical journal of the American Academy of Neurology."
143,1,The authors of the review concluded that most individual red flags were poor at diagnosing spinal malignancies and call for further studies focused on combinations of red flags.
144,1,Maternal weight gain between pregnancies is linked to complications and adverse outcomes
145,1,"Mayo Clinic researchers have discovered an association between a commonly prescribed blood pressure drug, Olmesartan, and severe gastrointestinal issues such as nausea, vomiting, diarrhea, weight loss and electrolyte abnormalities -- symptoms common among those who have celiac disease."
146,1,"The study, a collaboration between Lund University in Sweden and Stanford University, showed that the rate of suicide among men is almost three times that of women."
147,1,One child mothers with pre eclampsia at higher risk of heart problems
148,1,"In an analysis of nearly 2,500 Latino and African-American children with asthma, the researchers found that children between age 8 and 17 with acute asthma symptoms were far more likely to have had mothers who smoked during pregnancy, even when the team controlled for elements such as education, socioeconomic level and childhood exposure to tobacco smoke."
149,1,Link between obesity and polycystic ovary syndrome may be exaggerated
150,1,A study looking at the data of thousands of patients who suffered heart attacks has suggested treatment with high-potency statins offers a significantly improved chance of survival compared to those taking normal statins.
151,1,Study finds pregnancy safe in multiple sclerosis
152,1,Older adults who sleep poorly react to stress with increased inflammation
153,1,"The results reveal that the fatality rate among consumers of both drugs is 14.3 times higher than for the general population, while among those only using cocaine, it is 5.1 times higher."
154,1,Mayo Clinic  US and European researchers find heart disorder genetic variants in stillbirth cases
155,1,"New research published in the October issue of Liver Transplantation, a journal of the American Association for the Study of Liver Diseases, reported that high volume transplant centers more frequently utilized livers with a high donor risk index, but achieved better risk-adjusted graft and recipient survival rates compared with lower volume centers."
156,1,New research into the potential link between parabens and breast cancer has found traces of the chemicals in breast tissue samples from all of the women in the study.
157,1,"While the study found a combined estimated risk for all participants of nearly19 percent, it found an even more elevated risk of recurrence of over 26 percent for male infants, and over 32 percent for infants with more than one older sibling with autism."
158,1,Young black patients on kidney dialysis do much worse    not better    than white counterparts
159,1,"An ultrasound test can tell if people with the human immunodeficiency virus (HIV) and heart disease are at risk of heart attack or death, according to new research reported in Circulation: Cardiovascular Imaging, an American Heart Association journal."
160,1,"Premature babies are more likely to survive when they are born in high-level neonatal intensive care units (NICUs) than in hospitals without such facilities, and this benefit is considerably larger than previously reported."
161,1,"TORONTO, Ont., Aug. 18, 2011_A new study has found no evidence that patients who had a heart ultrasound known as an echocardiogram before major surgery had improved survival rates one month or one year after their operation."
162,1,New research appearing in the August issue of The Journal of Clinical Psychiatry adds to the growing work linking an infection caused by the Toxoplasma gondii parasite to suicide attempts.
163,1,"The risk of nodal involvement is very low in early-stage cancers with a maximum standard uptake value (maxSUV) of 2.0 or a nodule smaller than 10 millimeters, researchers found."
164,1,Even physically active women sit too much
165,1,UC Davis cancer researchers have found that older men with early-stage testicular cancer who opt for surveillance with regular CT scans over lymph node removal are at greater risk for secondary cancers.
166,1,"Some groups of patients actually had worse survival rates, according to Dr. Duminda Wijeysundera, a scientist at the Li Ka Shing Knowledge Institute of St. Michael's Hospital and the Institute for Clinical Evaluative Sciences."
167,1,"Chinese women are less likely to develop cardiovascular disease if they have their first menstrual cycle or enter menopause later than their peers, according to a recent study accepted for publication in The Endocrine Society's Journal of Clinical Endocrinology & Metabolism (JCEM)."
168,1,"A new study finds patients placed in Contact Precautions (Contact Isolation) were twice as likely to report perceived problems with care compared to patients without Contact Precautions, placing the common infection control practice at odds with hospital interests."
169,1,"Study participants who engaged in the highest levels of physical activity - up to 5 hours a week - did have a slightly higher risk of knee osteoarthritis, but the difference was not statistically significant."
170,1,"Younger age of menopause in women with cerebral aneurysms Online First doi: 10.1136/neurointsurg-2012-010364 The younger a woman is when she goes through the menopause, the greater may be her risk of having a brain (cerebral) aneurysm, suggests research published online first in the Journal of NeuroInterventional Surgery."
171,1,A new study finds that people 75 years old or older are less likely to receive any pain medication in hospital emergency departments than middle aged people - those between 35 and 54 years old.
172,1,"In fact, young patients in poor health may have worse outcomes than older patients in good shape."
173,1,Successful pregnancy possible after kidney transplant
174,1,"Insurance status is a better predictor of survival after a serious cardiac event than race, and may help explain racial disparities in health outcomes for cardiovascular disease."
175,1,Pregnancy related complications predict CVD in middle age
176,1,"The study, supported by a $2 million, three-year award to Georgia State's Andrew Young School of Policy Studies and Emory School of Medicine from the National Institutes of Health's National Institute on Aging, identifies factors associated with hospital readmission within 30 days after surgery procedures."
177,1,"Race or ethnicity can be a significant clue in the United States as to who will survive a kind of stroke known as a subarachnoid hemorrhage and who will be discharged to institutional care, a new study has found."
178,1,"Older people were affected less, with only 11 per cent of people aged 65 or older becoming infected."
179,1,"The risk of maternal complications and preterm deliveries is significantly higher for women undergoing their fifth or more caesarean section, finds a new study published today (31 October) in BJOG: An International Journal of Obstetrics and Gynaecology."
180,1,"A new risk prediction tool can identify patients at high risk of serious blood clots (known as venous thromboembolism) who might need preventative treatment, says a study published on bmj.com today."
181,1,Starchy  high carbohydrate diet associated with recurrence of colon cancer
182,1,Mother s vitamin D level linked to birth weight
183,1,Patients on peritoneal dialysis (PD) typically have a higher early survival rate than patients on hemodialysis (HD).
184,1,"Women with polycystic ovary syndrome are more likely to have problems with pregnancy regardless of whether they are undergoing fertility treatment, claims new research published on bmj.com today."
185,1,"Brain scans revealed that people with no symptoms of Alzheimer's who engaged in cognitively stimulating activities throughout their lives had fewer deposits of beta-amyloid, a destructive protein that is the hallmark of the disease."
186,1,Drivers who consume cannabis within three hours of driving are nearly twice as likely to cause a vehicle collision as those who are not under the influence of drugs or alcohol claims a paper published today on bmj.com.
187,1,New tool helps surgeons predict patients  risk of complications after bariatric operations
188,1,Danish HIV patients can live as long as the general population when treated optimally
189,1,Small increase in cancer risk following CT scans in childhood and adolescence
190,1,Dementia diagnosis twice as likely if older adult has schizophrenia  cancer less likely
191,1,"A new systematic review published in The Cochrane Library has raised doubts as to the effectiveness of ""red flag"" indicators at both identifying and excluding cancer in patients with lower back pain."
192,1,"The satisfaction levels among a hospital's staff are closely linked to the quality of healthcare it provides, say a team of doctors from Imperial College London."
193,1,High levels of potentially toxic flame retardants in California pregnant women
194,1,Age of onset of first seizure is a significant predictor of cognitive impairment according to this study--the first to evaluate cognitive impairment in children age three to six.
195,1,"Exposure during pregnancy to flame retardant chemicals commonly found in the home is linked to lower birthweight babies, according to a new study led by researchers at the University of California, Berkeley's School of Public Health."
196,1,Women s height linked to cancer risk
197,1,The results show that women who regularly consume more than three alcoholic drinks a week for at least 10 years have about half the risk of developing rheumatoid arthritis compared with non-drinkers.
198,1,"A new study, published online ahead of print today (20 December 2012) in the European Respiratory Journal, looked at whether people with moderate or severe asthma had an increased risk of developing deep vein thrombosis, or pulmonary embolism."
199,1,"The surgeons - who studied data from the Kids' Inpatient Database - found spine-related injuries from all-terrain vehicles (ATVs) in the United States are more common in older children and in females, unlike males in most trauma studies."
200,1,"Several types of job carried out by future fathers may be linked to an increased risk of birth defects in their babies, suggests research published online in Occupational and Environmental Medicine."
201,1,"In a study of more than 18,000 patients having surgery for hip fracture, researchers at the Perelman School of Medicine at the University of Pennsylvania found that the use of regional anesthesia versus general anesthesia, was associated with a significant reduction in major pulmonary complications and death."
202,1,Speed bumps could be a new way to help diagnose appendicitis
203,1,"Eating tomatoes and tomato-based foods is associated with a lower risk of stroke, according to new research published in the October 9, 2012, print issue of Neurology&reg;, the medical journal of the American Academy of Neurology."
204,1,Depression linked to increased risk of stroke in women
205,1,"Mothers with asthma may be more vulnerable, the findings indicate."
206,1,England s smoking ban linked to annual 5 percent drop in emergency admissions for asthma
207,1,Baldness linked to increased risk of coronary heart disease
208,1,CDC reports that unexplained skin condition is non infectious  not linked to environmental cause
209,1,Inducing labor is not associated with higher rates of cesarean sections
210,1,Children exposed to 2 phthalates have elevated risk of asthma related airway inflammation
211,1,Cincinnati-based researchers now report new evidence that exposure to three types of mold during infancy may have a direct link to asthma development during childhood.
212,1,Digoxin tied to increased risk of death in patients with atrial fibrillation
213,1,"In the study, to appear Tuesday, Aug. 30, in the peer-reviewed publication American Journal of Epidemiology, researchers found that every tenfold increase in levels of PBDEs, or polybrominated diphenyl ethers, in a mother's blood during pregnancy corresponded to a 115 gram (4.1 ounce) drop in her baby's birthweight."
214,1,"It finds that rosiglitazone is associated with significantly higher odds of congestive heart failure, heart attack and death compared with a similar drug (pioglitazone)."
215,1,"People with severe encephalitis -- inflammation of the brain -- are much more likely to die if they develop severe swelling in the brain, intractable seizures or low blood platelet counts, regardless of the cause of their illness, according to new Johns Hopkins research."
216,1,"Statistically significant differences in race, public versus tertiary-care hospital, disability and medications were found between depressed and non-depressed patients."
217,1,High risk donor livers used with greater frequency in transplantations
218,1,"In a large-scale analysis, women who ate the most baked/broiled fish (five or more servings/week) had a 30 percent lower risk of heart failure compared to women who seldom ate it (less than one serving/month)."
219,1,"Overweight children are far more likely to take prescription medications than children of a normal weight--a trend that adds to already higher health-care costs for treating childhood obesity, according to new research from the University of Alberta."
220,1,The fatality rate among hard drug users is 14 times higher than for the general population
221,1,Children with autism arrive at emergency room for psychiatric crisis 9 times more than peers
222,1,Cognitive impairment seen in preschool children with epilepsy
223,1,"Relatives of family members diagnosed with cancer are still at risk of the disease even if the diagnosis came at an older age, suggests a paper published on bmj.com today."
224,1,Body mass index in adolescence associated with early occurrence of diabetes and heart disease
225,1,Lack of sleep found to be a new risk factor for colon cancer
226,1,New research shows that residents of the Stroke Belt--a southern portion of the U.S. with significantly elevated stroke morality rate--also have a greater incidence of cognitive decline than other regions of the country.
227,1,Trauma centers serving mostly white patients have lower death rates for patients of all races
228,1,"Older black and Hispanic patients have a greater risk than white patients of developing complications following surgery, a difference that can be explained by a patients' gender and pre-existing medical conditions."
229,1,Heart failure patients twice as likely to die if admitted to general wards
230,1,Traumatic brain injury linked with tenfold increase in stroke risk
231,1,A Wayne State University School of Medicine study has found that an overwhelming majority of African-American patients with hypertension also suffered hidden heart disease caused by high blood pressure even though they displayed no symptoms.
232,1,"A patient is diagnosed with the syndrome when he or she exhibits three or more of the following characteristics: high blood pressure, high blood sugar, excess body fat in the waist/abdomen, low good cholesterol, and higher levels of fatty acids (the building blocks of fat)."
233,1,"The relationship between executive dysfunction and post-stroke mortality: a population-based cohort study doi 10.1136/bmjopen-2011-000458 A simple drawing test can predict the long-term risk of dying after a first stroke among older men, finds research published in the online journal BMJ Open."
234,1,Mayo Clinic  Common blood pressure drug linked to severe GI problems
235,1,"People with HIV have a 15 years longer life expectancy thanks to improved treatments over the past 13 years, according to a new study published on http://www.bmj.com today."
236,1,"Patients with a diagnosis of dementia have approximately three times the rate of diagnosis of urinary incontinence, and more than four times the rate of fecal incontinence, compared with those without a diagnosis of dementia, according to a study in this week's issue of PLOS Medicine by Robert Grant (Kingston University and St. George's, University of London) and colleagues."
237,1,Child s home address helps predict risk of readmission to hospital
238,1,"The effect of introduction of new breast cancer screening modalities, such as digital images, computer-aided detection (CAD), and use of ultrasound and MRI on screening costs among older women is unknown, although women over the age of 65 represent almost one-third of the total women screened in the US annually."
239,1,Why do people with apple shaped bodies have an increased risk of kidney disease
240,1,"It also describes some of the first evidence from humans that certain flame retardants may interfere with thyroid hormone signaling during pregnancy, which is critical to fetal brain development."
241,1,Study  Memory problems often not present in middle aged people with Alzheimer s disease
242,1,Risk factors in hospital readmissions among general surgery patients identified in study
243,1,"Children who regularly see specialists for chronic medical conditions are also using complementary medicine at a high rate, demonstrates recently published research from the University of Alberta and the University of Ottawa."
244,1,This may provide a mechanistic explanation for the relationship between obesity and sleep apnea.
245,2,"Weight loss at any age in adulthood is worthwhile because it could yield long-term heart and vascular benefits, suggests new research published in The Lancet Diabetes & Endocrinology."
246,2,"The effort could dramatically improve surgical outcomes in children, say the initiative's leaders, who published their findings online August 5, 2013 in the journal, Pediatrics."
247,2,A new analysis has found that loading up on snack foods may increase cancer risk in individuals with an inborn susceptibility to colorectal and other cancers.
248,2,"The same research shows, moreover, that rates of these injuries -- whose symptoms range from temporary numbness to full-blown paralysis -- are rising fastest among older people, suggesting that efforts to prevent falls in the elderly could significantly curb the number of spinal injuries."
249,2,"Treating 'brain tsunamis' or 'killer waves' could stop many victims of major head injury from suffering additional brain damage, a study published in Lancet Neurology has found."
250,2,Smoking may increase risks for patients being treated for prostate cancer
251,2,"Recent changes to World Health Organization guidelines for starting anti-AIDS drugs (antiretroviral therapy--ART)  in young children are unlikely to improve death rates but may increase the numbers of children receiving ART by simplifying access to treatment,  according to a study by international researchers published in this week's PLOS Medicine."
252,2,Alcohol may protect trauma patients from later complications
253,2,"The findings of a research group in Manchester, published in the Emergency Medicine Journal, could potentially make a huge difference to a large number of patients."
254,2,"A new study has found access to electronic health records in acute care situations may influence the care given to that patient, and in some cases, failure to review the EHR could have adversely affected the medical management."
255,2,"Frequent arguments with partners, relatives, or neighbours may boost the risk of death from any cause in middle age, suggests research published online in the Journal of Epidemiology & Community Health."
256,2,"More than 80 percent of hospitalized patients who tested positive for Clostridium difficile were tested outside the hospital or within the first 72 hours of hospitalization, suggesting that settings outside of the hospital may play key roles in the identification, onset and possible transmission of the disease, according to a new Kaiser Permanente study published today in the journal Mayo Clinic Proceedings."
